handle,wallet,chain,source
ericceth,0xbb19d3e508e5509ad8663aab3eb047fd7f768072,BSC,hodlers+amount+rpc
vladymyr,0x2c559bf8878d8cf71e6e18b07ac391ac937576f4,BSC,hodlers+amount+rpc
chundoohwann,0xa8ba73b5ba429356b1d804a01f319292b7ab2280,BSC,hodlers+amount+rpc
pedophile,0x3534d52bba3f5324c2672afc4ba28e878fbe0403,BSC,hodlers+amount+rpc
58xxxxxlll,0x74a325a6fc62e900582496c7ee4cd1c15dda5737,BSC,hodlers+amount+rpc
punchsports,0xec10638bb734b85c62e3da457aa90b7615dce43d,BSC,hodlers+amount+rpc
flippax100,0x9e4ccad81284082b1e2505f26e7929235835aecc,BSC,hodlers+amount+rpc
kimjungdu,0xe6a823d73bc242b14a3ce3905da6d535209c267f,BSC,hodlers+amount+rpc
hurtswiftdingo,0xe44c6324921957ec9983f52c0f0a4f50af4bacb8,BSC,hodlers+amount+rpc
poorupsettakin,0x2aef6fa18cedd70953ec9beb9dbb7eacd47ce3a4,BSC,hodlers+amount+rpc
waterysimplebobolink,0x8966f1f3a016dab72087e4bd4ddde0b5f4b275a4,Base,hodlers+amount+rpc
nedegen,0x242eff6acbdda6c93d791526e71b01bf7dd405d7,BSC,hodlers+amount+rpc
pinkyndthegainz,0x12ff752b5d155af696a914008f91fa763df85a8a,Robinhood,hodlers+amount+rpc
chopper_trades,0x625c52c2f888c2c514d2d57fe02e29b807f66590,Robinhood,hodlers+amount+rpc
phantombp_giga,0x3053c2d43049605f37d5fcb882c18a3ecb55e621,Robinhood,hodlers+amount+rpc
cometcalls,0xa9507f1b6665825a9c8136590b092028f895f1b0,Robinhood,hodlers+amount+rpc
chrollolucifer,0xcda47edbe67fd88036d03b44e17e7a615baa8e1c,Robinhood,hodlers+amount+rpc
travv,0x7132a3ab4a67f6a39d4ceba8da84b48894771cfe,Ethereum,hodlers+amount+rpc
thebrianjung,0x008808d79cc6b3893231d8a25208ffe1718a40e5,Base,hodlers+amount+rpc
waitingfor100x,0xdf460d8b0f7ad99a0ad12fcaca8621f3a0ea1240,Base,hodlers+amount+rpc
sheeeesh,0x5bbec0877d73e7cffdd5edd663582960447ec8e2,Base,hodlers+amount+rpc
gent1emansdiary,0x88b7fc95c9300cd4b7c770ab5f1e2900c39b3b44,Base,hodlers+amount+rpc
shortsorryhyena,0xdfbda4724fc1c7423833d6ef054da75c93b0c3a8,Base,hodlers+amount+rpc
buffettbets,0xdef201e76fe3973b7bcedf4bd4a6e8b451040fc4,Base,hodlers+amount+rpc
lieuuu,0x27b65a1b614a76e0024c7ce74a3cb636adda2c28,Base,hodlers+amount+rpc
antoniok1,0xbc9b8c151c257a69cbf759c257b1ac20570598ae,Base,hodlers+amount+rpc
bobdsw,0xf1734238e690cc3980e1adf3a5ea4430739b0af5,Base,hodlers+amount+rpc
solomc,0x98a3d562df364cbde47431e1495f7feaafad56c5,Base,hodlers+amount+rpc
thebull33,0x9a2656ff5e40a45ab817a1541c5a3e2a5eafaa48,Base,hodlers+amount+rpc
st5una_,0x79034fd69b56656559789499e8358ca2a0330a40,Base,hodlers+amount+rpc
goodluckhavefun,0x22dccb86bec16f27720cb69834bfca086327e2ae,Base,hodlers+amount+rpc
hfsilva21,0x2ff852bc2a42c0b75576c47d647ff71b6517a801,Base,hodlers+amount+rpc
funnycooltakin,0xe62ff950951313953c1da0bcf610612389ea5981,Base,hodlers+amount+rpc
drille,0xe39ad80c9f3642bfd7bcbfefc0ca9c11793b0a04,Base,hodlers+amount+rpc
nounagnon,0xccc6dcde4c76966e997d5437d8c9c7e3a179f253,Base,hodlers+amount+rpc
